범주	file:line	함수	호출 경로 요약	관리채널 도달	도달 사유	(B) 요소	현재 retire 주체	r5 행	리뷰 태그	callee	순번	깊이	seed 종류
A	src/cli/dcserver.rs:1270	handle_dcserver	handle_dcserver → run_bot → spawn_tui_prompt_relay → relay_observed_prompt → .say	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	run_bot	1	3	unnamed-fn-caller
A	src/cli/dcserver.rs:1365	handle_dcserver	handle_dcserver → run_bot → spawn_tui_prompt_relay → relay_observed_prompt → .say	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	run_bot	2	3	unnamed-fn-caller
A	src/cli/direct.rs:305	cmd_send	cmd_send → send_message_with_backends → send_message_with_backends_and_delivery_id → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_message_with_backends	1	7	wrapper-call
A	src/cli/direct.rs:366	cmd_send_to_agent	cmd_send_to_agent → send_agent_handoff → send_message_with_backends → send_message_with_backends_and_delivery_id → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_agent_handoff	1	8	wrapper-call
A	src/cli/direct.rs:840	cmd_discord_thread_create	cmd_discord_thread_create → create → .create_thread	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	create	1	1	unnamed-fn-caller
A	src/cli/direct.rs:864	cmd_discord_read	cmd_discord_read → channel_messages → REST:discord.com/api	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	channel_messages	1	1	unnamed-fn-caller
A	src/cli/discord.rs:47	send_file	send_file → send_file_to_channel → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_file_to_channel	1	1	wrapper-call
A	src/cli/discord.rs:56	send_channel_message	send_channel_message → send_message_to_channel → deliver_channel_message → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_message_to_channel	1	6	wrapper-call
A	src/cli/discord.rs:65	send_user_message	send_user_message → send_message_to_user → deliver_channel_message → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_message_to_user	1	6	wrapper-call
A	src/cli/discord.rs:78	send	send → send_file → send_file_to_channel → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_file	1	2	wrapper-call
A	src/cli/discord.rs:82	send	send → send_channel_message → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_channel_message	1	1	wrapper-call
A	src/cli/discord.rs:86	send	send → send_user_message → send_message_to_user → deliver_channel_message → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_user_message	1	7	wrapper-call
A	src/cli/discord_thread_create.rs:396	create	create → .create_thread	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	.create_thread	1	0	serenity-method
A	src/cli/init.rs:16	<module>	REST:discord.com/api	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	REST:discord.com/api	1	0	raw-rest
A	src/github/sync.rs:354	sync_loaded_github_issues_for_repo_pg	sync_loaded_github_issues_for_repo_pg → complete_issue_announcement_pg → send_issue_announcement_message → .edit_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	complete_issue_announcement_pg	1	2	unnamed-fn-caller
A	src/github/sync.rs:395	sync_loaded_github_issues_for_repo_pg	sync_loaded_github_issues_for_repo_pg → complete_issue_announcement_pg → send_issue_announcement_message → .edit_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	complete_issue_announcement_pg	2	2	unnamed-fn-caller
A	src/server/mod.rs:2791	dm_reply_retry_loop	dm_reply_retry_loop → retry_failed_dm_notifications → notify_source_agent → deliver_channel_message → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	retry_failed_dm_notifications	1	7	unnamed-fn-caller
A	src/server/outbox_actionable_delivery.rs:44	deliver_with_bot	deliver_with_bot → send_message_with_backends_and_delivery_options → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_message_with_backends_and_delivery_options	1	6	wrapper-call
A	src/server/outbox_actionable_delivery.rs:78	deliver	deliver → deliver_with_bot → send_message_with_backends_and_delivery_options → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	deliver_with_bot	1	7	wrapper-call
A	src/server/outbox_actionable_delivery.rs:96	deliver	deliver → deliver_with_bot → send_message_with_backends_and_delivery_options → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	deliver_with_bot	2	7	wrapper-call
A	src/server/routes/agents.rs:1225	agent_message	agent_message → send_agent_handoff → send_message_with_backends → send_message_with_backends_and_delivery_id → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_agent_handoff	1	8	wrapper-call
A	src/server/routes/auto_queue.rs:223	request_generate	request_generate → request_generate → handle_send_to_agent → send_message_with_backends → send_message_with_backends_and_delivery_id → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	request_generate	1	9	unnamed-fn-caller
A	src/server/routes/discord.rs:116	ensure_channel_is_role_mapped	ensure_channel_is_role_mapped → fetch_discord_channel_info → REST:discord.com/api	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	fetch_discord_channel_info	1	1	unnamed-fn-caller
A	src/server/routes/discord.rs:124	ensure_channel_is_role_mapped	ensure_channel_is_role_mapped → fetch_discord_channel_info → REST:discord.com/api	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	fetch_discord_channel_info	2	1	unnamed-fn-caller
A	src/server/routes/discord.rs:143	fetch_discord_channel_info	fetch_discord_channel_info → REST:discord.com/api	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	REST:discord.com/api	1	0	raw-rest
A	src/server/routes/discord.rs:213	channel_messages	channel_messages → REST:discord.com/api	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	REST:discord.com/api	1	0	raw-rest
A	src/server/routes/discord.rs:424	channel_info	channel_info → REST:discord.com/api	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	REST:discord.com/api	1	0	raw-rest
A	src/server/routes/domains/agents.rs:44	router	router → agent_message → send_agent_handoff → send_message_with_backends → send_message_with_backends_and_delivery_id → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	agent_message	1	9	unnamed-fn-caller
A	src/server/routes/domains/integrations.rs:94	router	router → REST:channels/{id}/messages	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	REST:channels/{id}/messages	1	0	raw-rest
A	src/server/routes/domains/integrations.rs:95	router	router → channel_messages → REST:discord.com/api	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	channel_messages	1	1	unnamed-fn-caller
A	src/server/routes/domains/integrations.rs:97	router	router → channel_info → REST:discord.com/api	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	channel_info	1	1	unnamed-fn-caller
A	src/server/routes/domains/onboarding.rs:22	router	router → validate_token → REST:discord.com/api	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	validate_token	1	1	unnamed-fn-caller
A	src/server/routes/domains/onboarding.rs:26	router	router → channels_post → load_channels → REST:discord.com/api	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	channels_post	1	2	wrapper-call
A	src/server/routes/domains/ops.rs:36	router	router → send_handler → handle_send_with_caller → send_message_with_backends_and_delivery_id_for_caller → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_handler	1	8	wrapper-call
A	src/server/routes/domains/ops.rs:44	router	router → send_to_agent_handler → handle_send_to_agent → send_message_with_backends → send_message_with_backends_and_delivery_id → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_to_agent_handler	1	9	wrapper-call
A	src/server/routes/domains/ops.rs:46	router	router → senddm_handler → handle_senddm → deliver_manual_dm_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	senddm_handler	1	4	unnamed-fn-caller
A	src/server/routes/domains/ops.rs:213	router	router → request_generate → handle_send_to_agent → send_message_with_backends → send_message_with_backends_and_delivery_id → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	request_generate	1	9	unnamed-fn-caller
A	src/server/routes/domains/ops.rs:281	router	router → sweep_expired → shared_reaction_applier → note_tui_anchor_completed_delivery → note_tui_anchor_delivery → note_state_delivery → note_state_delivery_with_attempt → note_state_delivery_with_clear_attempt_guard → apply_unknown_clear → apply_reaction → try_add_reaction_raw_with_shared_detailed → try_reaction_raw_with_shared_detailed → try_reaction_raw_once_on_channel_detailed → apply_reaction_action_detailed → .create_reaction	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	sweep_expired	1	13	wrapper-call
A	src/server/routes/domains/ops.rs:285	router	router → REST:channels/{channel_id}/messages	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	REST:channels/{channel_id}/messages	1	0	raw-rest
A	src/server/routes/domains/ops.rs:286	router	router → delete_discord_message → delete_message → .delete_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	delete_discord_message	1	2	wrapper-call
A	src/server/routes/domains/runtime.rs:95	router	router → post_idle_recap → run_idle_recap_post_job → delete_previous_card → delete_channel_message → .delete_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	post_idle_recap	1	4	wrapper-call
A	src/server/routes/domains/runtime.rs:116	router	router → relay_recovery_handler → handle_relay_recovery → run_relay_recovery → run_relay_recovery_at → apply_relay_recovery_plan → apply_relay_recovery_plan_with_seams → queue_or_resume_open_alert_with_enqueue → .pin	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	relay_recovery_handler	1	7	wrapper-call
A	src/server/routes/e2e_control.rs:77	delete_discord_message	delete_discord_message → delete_message → .delete_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	delete_message	1	1	wrapper-call
A	src/server/routes/escalation.rs:21	<module>	REST:discord.com/api	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	REST:discord.com/api	1	0	raw-rest
A	src/server/routes/escalation.rs:868	send_channel_message	send_channel_message → REST:channels/{channel_id}/messages	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	REST:channels/{channel_id}/messages	1	0	raw-rest
A	src/server/routes/escalation.rs:933	try_reuse_escalation_thread	try_reuse_escalation_thread → send_channel_message → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_channel_message	1	1	wrapper-call
A	src/server/routes/escalation.rs:1052	emit_escalation_with_base_url	emit_escalation_with_base_url → try_reuse_escalation_thread → send_channel_message → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	try_reuse_escalation_thread	1	2	unnamed-fn-caller
A	src/server/routes/escalation.rs:1111	emit_escalation_with_base_url	emit_escalation_with_base_url → send_channel_message → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_channel_message	1	1	wrapper-call
A	src/server/routes/escalation.rs:1125	emit_escalation_with_base_url	emit_escalation_with_base_url → deliver_pm_fallback → send_channel_message → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	deliver_pm_fallback	1	2	wrapper-call
A	src/server/routes/escalation.rs:1186	emit_escalation_with_base_url	emit_escalation_with_base_url → deliver_pm_fallback → send_channel_message → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	deliver_pm_fallback	2	2	wrapper-call
A	src/server/routes/escalation.rs:1201	emit_escalation_with_base_url	emit_escalation_with_base_url → deliver_pm_fallback → send_channel_message → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	deliver_pm_fallback	3	2	wrapper-call
A	src/server/routes/escalation.rs:1240	deliver_pm_fallback	deliver_pm_fallback → send_channel_message → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	send_channel_message	1	1	wrapper-call
A	src/server/routes/escalation.rs:1359	emit_escalation	emit_escalation → emit_escalation_with_base_url → send_channel_message → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	emit_escalation_with_base_url	1	2	unnamed-fn-caller
A	src/server/routes/health_api.rs:1529	relay_recovery_handler	relay_recovery_handler → handle_relay_recovery → run_relay_recovery → run_relay_recovery_at → apply_relay_recovery_plan → apply_relay_recovery_plan_with_seams → queue_or_resume_open_alert_with_enqueue → .pin	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	handle_relay_recovery	1	6	wrapper-call
A	src/server/routes/health_api.rs:1571	send_handler	send_handler → handle_send → handle_send_with_caller → send_message_with_backends_and_delivery_id_for_caller → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	handle_send	1	8	wrapper-call
A	src/server/routes/health_api.rs:1573	send_handler	send_handler → handle_send_with_caller → send_message_with_backends_and_delivery_id_for_caller → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	handle_send_with_caller	1	7	wrapper-call
A	src/server/routes/health_api.rs:1725	send_to_agent_handler	send_to_agent_handler → handle_send_to_agent → send_message_with_backends → send_message_with_backends_and_delivery_id → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	handle_send_to_agent	1	8	wrapper-call
A	src/server/routes/health_api.rs:1766	senddm_handler	senddm_handler → handle_senddm → deliver_manual_dm_notification → post_text_attachment → .send_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	handle_senddm	1	3	wrapper-call
A	src/server/routes/idle_recap.rs:125	post_idle_recap	post_idle_recap → run_idle_recap_post_job → delete_previous_card → delete_channel_message → .delete_message	불명	services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	불명	불명	누락	-	run_idle_recap_post_job	1	3	wrapper-call
